,Song_Name,Artist,Genre,Lyrics
42,The Devil Went Down to Georgia,The Charlie Daniels Band,country,"The Devil went down to Georgia. He was lookin' for a soul to steal
He was in a bind cause he was way behind. He was willing to make a deal
When he came across this young man sawin' on a fiddle and playin' it hot
And the Devil jumped upon a hickory stump and said ""Boy, let me tell you what.""

""I bet you didn't know it, but I'm a fiddle player, too
And if you'd care to take a dare I'll make a bet with you
Now you play a pretty good fiddle, boy, but give the Devil his due
I'll bet a fiddle of gold against your soul cause I think I'm better than you.""

The boy said, ""My name's Johnny, and it might be a sin
But I'll take your bet; and you're gonna regret cause I'm the best there's ever been.""

Johnny, rosin up your bow and play your fiddle hard
Cause Hell's broke loose in Georgia and the Devil deals the cards
And if you win you get this shiny fiddle made of gold
But if you lose the devil gets your soul

The Devil opened up his case and he said, ""I'll start this show.""
And fire flew from his fingertips as he rosined up his bow
And he pulled the bow across the strings and it made an evil hiss
And a band of demons joined in and it sounded something like this:

[Demonic violin piece]

When the Devil finished, Johnny said, ""Well, you're pretty good ol' son
But sit down in that chair right there and let me show you how it's done.""

""Fire on the Mountain."" Run, boys, run!
The Devil's in the house of the rising sun;
Chicken's in the bread pan picking out dough
Granny, does your dog bite? No, child, no

[Non-demonic violin piece]

The Devil bowed his head because he knew that he'd been beat
And he laid that golden fiddle on the ground at Johnny's feet
Johnny said, ""Devil, just come on back if you ever wanna try again
Cause I've told you once--you son of a bitch--I'm the best there's ever been.""
And he played:

""Fire on the Mountain."" Run, boys, run!
The Devil's in the house of the rising sun;
Chicken's in the bread pan picking out dough
Granny, does your dog bite? No, child, no"
43,Joanne,Lady Gaga,country,"[Verse 1]
Take my hand, stay Joanne
Heaven's not
Ready for you
Every part
Of my aching heart
Needs you more
Than the angels do

[Chorus]
Girl
Where do you think you're goin'?
Where do you think you're goin'
Goin', girl?
Girl
Where do you think you're goin'?
Where do you think you're goin'
Goin', girl?

[Verse 2]
If you could
I know that you'd stay
We both know
Things don't work that way
I promised I
Wouldn't say goodbye
So I grin
And my voice gets thin

[Chorus]
Girl
Where do you think you're goin'?
Where do you think you're goin'
Goin', girl?
Girl
Where do you think you're goin'?
Where do you think you're goin'
Goin', girl?

[Bridge]
Honestly, I know where you're goin'
And baby, you're just movin' on
And I'll still love you even if I can't
See you anymore
Can't wait to see you soar

[Chorus]
Girl
Where do you think you're goin'?
Where do you think you're goin'
Goin', girl?
Girl
Where do you think you're goin'?
Where do you think you're goin'
Goin', girl?"
44,The Night the Lights Went Out in Georgia,Reba McEntire,country,"[Verse 1]
He was on his way home from Candletop
Been two weeks gone and he thought he'd stop
At Web's and have him a drink 'fore he went home to her
Andy Wo-Lo said hello
He said, ""Hi, what's new?""
And Wo said, ""Sit down I got some bad news that's going to hurt""

[Verse 2]
Said, ""I'm your best friend and you know that's right
But your young bride isn't home tonight
Since you've been gone she's been seeing that Amos boy, Seth""
Now he got mad and he saw red
Andy said, ""Boy, don't you lose your head
Because to tell you the truth, I've been with her myself""

[Chorus 1]
That's the night that the lights went out in Georgia
That's the night that they hung an innocent man
Well, don't trust your soul to no backwoods Southern lawyer
'Cause the judge in the town's got bloodstains on his hands

[Verse 3]
Andy got scared and left the bar
Walking on home because he didn't live far - you see
Andy didn't have many friends and he just lost him one
Brother thought his wife must have left town
So he went home and finally found the only thing
Daddy had left him and that was a gun

[Verse 4]
He went off to Andy's house
Slipping through the backwoods quiet as a mouse
Came upon some tracks too small for Andy to make
He looked through the screen at the back porch door
And he saw Andy lying on the floor
In a puddle of blood and he started to shake

[Chorus 2]
The Georgia patrol was making their rounds
So he fired a shot just to flag them down
A big bellied sheriff grabbed his gun and said
""Why'd you do it?""

[Verse 5]
The judge said guilty on a make-believe trial
Slapped the sheriff on the back with a smile
Said supper's waiting at home and I got to get to it

[Chorus 1]
That's the night that the lights went out in Georgia
That's the night that they hung an innocent man
Well, don't trust your soul to no backwoods Southern lawyer
Because the judge in the town's got bloodstains on his hands

[Verse 6]
Well, they hung my brother before I could say
The tracks he saw while on his way
To Andy's house and back that night were mine
And his cheating wife had never left town
That's one body that'll never be found
You see little sister doesn't miss when she aims her gun

[Chorus 1]
That's the night that the lights went out in Georgia
That's the night that they hung an innocent man
Well, don't trust your soul to no backwoods Southern lawyer
Because the judge in the town's got bloodstains on his hands
That's the night that the lights went out in Georgia
That's the night that they hung an innocent man
Well, don't trust your soul to no backwoods Southern lawyer
Because the judge in the town's got bloodstains on his hands"
45,Ask Me How I Know,Garth Brooks,country,"You're stubborn as they come, you'll never settle down
You'll always be the one who doesn't stick around
You make all the rules, you're set in your ways
You gotta have your freedom, you gotta have your space

[Chorus]
But one day you'll meet the girl you swore you'd never find
Start feeling things you never felt and spending all your time
Trying to figure out how she got this hold on you
And when you start to fall, you'll hold onto your pride
Start building up your walls and never let her get inside
You'll push her away 'cause that's all you know how to do
And then she'll leave and you won't beg her not to go
Ask me how I know

Go on and shake your head and tell me that I'm wrong
Say, ""I'm just another fool and this is just another song""
But I know how you are 'cause I know how I am
And I'd give anything to go back and try again

[Chorus]
But one day you'll meet the girl you swore you'd never find
Start feeling things you never felt and spending all your time
Trying to figure out how she got this hold on you
And when you start to fall, you'll hold onto your pride
Start building up your walls and never let her get inside
You'll push her away 'cause that's all you know how to do
And then she'll leave and you won't beg her not to go
Ask me how I know

[Bridge]
And you best put this song on repeat
Maybe then you won't end up like me

[Chorus]
But one day you'll meet the girl you swore you'd never find
Start feeling things you never felt and spending all your time
Trying to figure out how she got this hold on you
And when you start to fall, you'll hold onto your pride
Start building up your walls and never let her get inside
You'll push her away 'cause that's all you know how to do
And then she'll leave and you won't beg her not to go
Ask me how I know"
46,One Number Away,Luke Combs,country,"[Verse 1]
Are you sitting at home, all alone, trying to fall asleep?
Are you staring a hole through your phone, praying that it rings?
Are you watching a movie that you've seen a thousand times?
Or maybe playing some Mayer, getting lost in your favorite lines

[Pre-Chorus]
Well, if you're anything like me
You just might be doing whatever it takes
To drown out the noise
But I just wanna hear your voice

[Chorus]
And I'm one number away
From calling to you
I said I was through
But I'm dying, inside
Got my head in a mess
Girl, I confess
I lied when I said
""I'm leaving and not coming back""
Might be the whiskey or the midnight rain
But everywhere I go, I see your face
In my brain, dial it up, everything I wanna say
But I'm still one number away

[Verse 1]
Are you stuck at a red light with a Marlboro Light on your lips?
Does the smoke in your mirror get clearer without my kiss?
Are you changing the station replacing our favorite songs?
Well maybe it's a mistake, hit the brakes, I'm moving on

[Pre-Chorus 2]
Well, if you're anything like me
You just might be doing whatever it takes
To outrun the storm
But I'm almost out that door

[Chorus]
And I'm one number away
From calling to you
I said I was through
But I'm dying, inside
Got my head in a mess
Girl, I confess
I lied when I said
""I'm leaving and not coming back""
Might be the whiskey or the midnight rain
But everywhere I go, I see your face
In my brain, dial it up, everything I wanna say
But I'm still one number away

[Bridge]
Will you pick up when I call?
Or just forget we loved at all
We don't have to talk
I just wanna hear your voice

[Chorus]
And I'm one number away
From calling to you
I said I was through
But I'm dying, inside
Got my head in a mess
Girl, I confess
I lied when I said
""I'm leaving and not coming back""
Might be the whiskey or the midnight rain
But everywhere I go, I see your face
In my brain, dial it up, everything I wanna say
But I'm still one number away, away, away
Yeah I'm still one number away"
47,Up Down,Morgan Wallen,country,"[Verse 1: Morgan Wallen]
Was Friday after five, I got here just in time
Went ahead and wet a line 'fore I went and lost my mind
I ain't been here long, but the bobbers in the pond
Going up down, up, down, up, down
Tonight, we're gonna raise a whole lot more than Cain
'Cause there's money in the bank and tomorrow's Saturday
So if they pass that fifth of Jack this way
I turn it up, down, up, down, up, down

[Chorus: Morgan Wallen & Florida Georgia Line]
We just holding it down here in BFE
Still rolling around with a burnt CD
Free Bird, five minutes deep
Head bobbing up, down, up, down, up, down
We got what we got, we don't need the rest
Can turn this parking lot into a party
With an ice chest, dancing, cold beer
Man, we live it up, down, up, down
We live it up down...here

[Verse 2: Florida Georgia Line]
Yeah, the girls, they hit the spot, get hotter when it's hot
If you can't buy her a yacht, but still proud of what you got
'Cause when the day's done, red neck is from the sun
Going up, down, up, down, up, down

[Chorus: Morgan Wallen & Florida Georgia Line]
We just holding it down here in BFE
Still rolling around with a burnt CD
Free Bird, five minutes deep
Head bobbing up, down, up, down, up, down
We got what we got, we don't need the rest
Can turn this parking lot into a party
With an ice chest, dancing, cold beer
Man, we live it up, down, up, down
We live it up, down here

[Bridge: Morgan Wallen & Florida Georgia Line]
Somebody pass that fifth of Camp this way
I'll turn it up, down, up, down, up, down

[Chorus: Both, Morgan Wallen]
We just holding it down here in BFE
Still rolling around with a burnt CD
Free Bird, five minutes deep
Head bobbing up, down, up, down, up, down
We got what we got, we don't need the rest
Can turn this parking lot into a party
With an ice chest, dancing, cold beer
Man, we live it up, down, up, down
We live it up, down here"
48,Feathered Indians,Tyler Childers,country,"Well my buckle makes impressions
On the inside of her thigh
There are little feathered Indians
Where we tussled through the night
If I'd known she was religious
Then I wouldn't have came stoned
To the house of such an angel
Too fucked up to get back home

Lookin' over West Virginia
Smoking Spirits on the roof
She asked ain't anybody told ya
That them things are bad for you
I said many folks have warned me
There's been several people try
But up till now, there ain't been nothing
That I couldn't leave behind

Hold me close my dear
Sing your whispering song
Softly in my ear
And I will sing along
Honey tell me how your love runs true
And how I can always count on you
To be there when the bullets fly
I'd run across the river just to hold you tonight

Well my heart is sweating bullets
From the circles it has raced
Like a little feathered indian
Callin' out the clouds for rain
I'd go runnin' through the thicket
I'd go careless through the thorns
Just to hold her for a minute
Though it'd leave me wanting more

Hold me close my dear
Sing your whispering song
Softly in my ear
And I will sing along
Honey tell me how your love runs true
And how I can always count on you
To be there when the bullets fly
I'd run across the river just to hold you tonight"
49,Fire and Rain,James Taylor,country,"[Verse 1]
Just yesterday morning, they let me know you were gone
Suzanne, the plans they made put an end to you
I walked out this morning and I wrote down this song
I just can't remember who to send it to

[Chorus]
I've seen fire and I've seen rain
I've seen sunny days that I thought would never end
I've seen lonely times when I could not find a friend, but I always thought that I'd see you again

[Verse 2]
Won't you look down upon me, Jesus
You've got to help me make a stand
You've just got to see me through another day
My body's aching and my time is at hand and I won't make it any other way

[Chorus]
Oh, I've seen fire and I've seen rain
I've seen sunny days that I thought would never end
I've seen lonely times when I could not find a friend, but I always thought that I'd see you again

[Verse 3]
Been walking my mind to an easy time, my back turned towards the sun
Lord knows when the cold wind blows it'll turn your head around
Well, there's hours of time on the telephone line to talk about things to come
Sweet dreams and flying machines in pieces on the ground

[Chorus]
Oh, I've seen fire and I've seen rain
I've seen sunny days that I thought would never end
I've seen lonely times when I could not find a friend
But I always thought that I'd see you baby, one more time again, now

[Outro]
Thought I'd see you one more time again
There's just a few things coming my way this time around, now
Thought I'd see you, thought I'd see you, fire and rain, now"
50,Girl Like You,Jason Aldean,country,"[Verse 1]
Love how you close your eyes when I pull you in closer
Tonight's moving fast but we ain't taking it slower
You hit me harder than a drink does
You're gonna take me all the way up
Something about you baby, got me going crazy
I don't know what to do

[Chorus]
I've never met a girl like you
That's ever done it quite like you do
Your kiss is double-barrel bourbon on rocks
Your lips are just the cherry on top
I've never been high like this
Turn out the lights and let me breathe you in
Your eyes are so diamond, body so gold
And I don't want to let you go
I've never met a girl like you

[Verse 2]
Love how you say my name and make it sound so sexy
Love how you do that thing, yeah you know what gets me
I'm talking slow motion all night long
Baby, love you with the lights on

[Chorus]
I've never met a girl like you
That's ever done it quite like you do
Your kiss is double-barrel bourbon on rocks
Your lips are just the cherry on top
I've never been high like this
Turn out the lights and let me breathe you in
Your eyes are so diamond, body so gold
And I don't want to let you go
I've never met a girl like you

[Chorus]
I've never met a girl like you
That's ever done it quite like you do
Your kiss is double-barrel bourbon on rocks
Your lips are just the cherry on top
I've never been high like this
Turn out the lights and let me breathe you in
Your eyes are so diamond, body so gold
And I don't want to let you go
I've never met a girl like you
I've never met a girl like you"
51,America the Beautiful,Katharine Lee Bates,country,"O beautiful for spacious skies
For amber waves of grain
For purple mountain majesties
Above the fruited plain!
America! America!
God shed his grace on thee
And crown thy good with brotherhood
From sea to shining sea!

O beautiful for pilgrim feet
Whose stern impassioned stress
A thoroughfare of freedom beat
Across the wilderness!
America! America!
God mend thine every flaw
Confirm thy soul in self-control
Thy liberty in law!

O beautiful for heroes proved
In liberating strife
Who more than self their country loved
And mercy more than life!
America! America!
May God thy gold refine
Till all success be nobleness
And every gain divine!

O beautiful for patriot dream
That sees beyond the years
Thine alabaster cities gleam
Undimmed by human tears!
America! America!
God shed his grace on thee
And crown thy good with brotherhood
From sea to shining sea!

O beautiful for halcyon skies
For amber waves of grain
For purple mountain majesties
Above the enameled plain!
America! America!
God shed his grace on thee
Till souls wax fair as earth and air
And music-hearted sea!

O beautiful for pilgrims feet
Whose stem impassioned stress
A thoroughfare for freedom beat
Across the wilderness!
America! America!
God shed his grace on thee
Till paths be wrought through
Wilds of thought
By pilgrim foot and knee!

O beautiful for glory-tale
Of liberating strife
When once and twice
For man's avail
Men lavished precious life!
America! America!
God shed his grace on thee
Till selfish gain no longer stain
The banner of the free!

O beautiful for patriot dream
That sees beyond the years
Thine alabaster cities gleam
Undimmed by human tears!
America! America!
God shed his grace on thee
Till nobler men keep once again
Thy whiter jubilee!"
52,All Along The Watchtower,Bob Dylan,country,"[Verse 1]
""There must be some way out of here""
Said the joker to the thief
""There's too much confusion
I can't get no relief
Businessmen, they drink my wine
Plowmen dig my earth
None of them along the line
Know what any of it is worth""

[Verse 2]
""No reason to get excited""
The thief, he kindly spoke
""There are many here among us
Who feel that life is but a joke
But you and I, we've been through that
And this is not our fate
So let us not talk falsely now
The hour is getting late""

[Verse 3]
All along the watchtower
Princes kept the view
While all the women came and went
Barefoot servants too

[Verse 4]
Outside, in the distance
A wildcat did growl
Two riders were approaching
The wind began to howl"
53,The Champion,Carrie Underwood,country,"[Verse 1: Carrie Underwood]
I’ll be the last one standing
Two hands in the air, I’m a champion
You’ll be looking up at me when it’s over
I live for the battle, I’m a soldier, yeah
I’m a fighter like Rocky
Put your flag on your back like Ali
Yeah, I’m the greatest I’m stronger
Paid my dues, can’t lose, I'm own ya, ay

[Pre-Chorus: Carrie Underwood]
I’ve been working my whole life
And now it’s do or die

[Chorus: Carrie Underwood]
I am invincible, unbreakable
Unstoppable, unshakeable
They knock me down, I get up again
I am the champion, you’re gon’ know my name
You can’t hurt me now, I can’t feel the pain
I was made for this, yeah, I was born to win
I am the champion

[Verse 2: Carrie Underwood]
When they write my story
They gonna say that I did it for the glory
But don’t think that I did it for the fame, yeah
I did it for the love of the game, yeah
And this is my chance I’m taking
All them old records, I’m breaking
All you people watching on the TV
You go ahead and put your bets on me, ay

[Pre-Chorus: Carrie Underwood]
I’ve been waiting my whole life
To see my name in lights

[Chorus: Carrie Underwood]
I am invincible, unbreakable
Unstoppable, unshakeable
They knock me down, I get up again
I am the champion, you’re gon’ know my name
You can’t hurt me now, I can’t feel the pain
I was made for this, yeah, I was born to win
I am the champion, oh

[Verse 3: Ludacris]
Born champion, Luda
The C is for the courage I possess through the trauma
H is for the hurt, but it’s all for the honor
A is for my attitude working through the patience
Money comes and goes, so the M is for motivation
Gotta stay consistent, the P is for persevere
The I is for integrity, innovative career
The O is optimistic, open and never shut
And the N is necessary 'cause I’m never givin’ up
See, they ask me how I did it, I just did it from the heart
Crushin' the competition, been doing it from the start
They say that every champion is all about his principles
Carrie

[Chorus: Carrie Underwood]
I am invincible, unbreakable
Unstoppable, unshakeable
They knock me down, I get up again
I am the champion, you’re gon’ know my name
You can’t hurt me now, I can’t feel the pain
I was made for this, yeah, I was born to win
I am the champion

[Outro: Ludacris & Carrie Underwood]
I’m the champion, yeah, surpassed all rivals
It’s all about who wants it the most
I am the champion
Fight for what we believe in
That’s what champions are made of
I am the champion (Yeah, champion)"
54,All On Me,Devin Dawson,country,"[Verse 1]
Yeah I know that the woes and the weight of the world
Can get in side our minds and be too much sometimes, I know
But baby don't let the no's and the ups and the downs
From the roller coaster ride beat you up inside, baby don't
But if you ever feel that way, don't you ever hesitate, cause

[Chorus]
You got my number you can call on me
If you're in trouble put the fall on me
When you're mad you can take it out on me
When it don't add up you can count on me
When you're low come get high on me
Make it slow take your time on me
Said let, let it out
Come and lay on me
When it gets heavy put the weight on me
Baby put it all on me
Put it all on me

[Verse 2]
Wanna take you out on the town on my dime anytime, tell me when you're free
We can do anything and everything you want yeah
Oh I wanna hear all your fears and your troubles
Strip it down, really get to know one another
When it's nobody but you and me just us
Girl you know I'm here for you
You can lean on me anytime you need to

[Chorus]
You got my number, you can call on me
If you're in trouble put the fall on me
When you're mad you can take it out on me
When it don't add up you can count on me
When you're low come get high on me
Make it slow take your time on me
Said let, let it out
Come and lay on me
When it gets heavy put the weight on me
Baby put it all on me
Girl put it all on me

[Bridge]
C'mon relax your mind on me
When you need a shoulder you can cry on me
Baby you can bet your life on me
Put it all on me

[Chorus]
You got my number, you can call on me
If you're in trouble put the fall on me
When you're mad you can take it out on me
When it don't add up you can count on me
When you're low come get high on me
Make it slow take your time on me
Said let, let it out
Come and lay on me
When it gets heavy put the weight on me
Baby put it all on me
Yeah baby put it all on me, yeah

[Outro]
Put it all on me, yeah
Girl put it all on me
Put it all on me"
55,You Belong With Me,Taylor Swift,country,"[Verse 1]
You're on the phone with your girlfriend, she's upset
She's going off about something that you said
'Cause she doesn't get your humor like I do
I'm in the room, it's a typical Tuesday night
I'm listening to the kind of music she doesn't like
And she'll never know your story like I do

[Pre-Chorus]
But she wears short skirts, I wear T-shirts
She's Cheer Captain and I'm on the bleachers
Dreaming about the day when you wake up and find
That what you're looking for has been here the whole time

[Chorus]
If you could see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me, you belong with me

[Verse 2]
Walking the streets with you and your worn-out jeans
I can't help thinking this is how it ought to be
Laughing on a park bench, thinking to myself
Hey, isn't this easy?
And you've got a smile that could light up this whole town
I haven't seen it in a while since she brought you down
You say you're fine, I know you better than that
Hey, whatcha doing with a girl like that?

[Pre-Chorus]
She wears high heels, I wear sneakers
She's Cheer Captain and I'm on the bleachers
Dreaming about the day when you wake up and find
That what you're looking for has been here the whole time

[Chorus]
If you could see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me
Standing by and waiting at your back door
All this time how could you not know, baby?
You belong with me, you belong with me

[Bridge]
Oh, I remember you driving to my house
In the middle of the night
I'm the one who makes you laugh
When you know you're 'bout to cry
And I know your favorite songs
And you tell me 'bout your dreams
Think I know where you belong
Think I know it's with me

[Chorus]
Can't you see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me
Standing by and waiting at your back door
All this time how could you not know, baby?
You belong with me, you belong with me

[Outro]
You belong with me
Have you ever thought just maybe
You belong with me?
You belong with me"
56,Loud & Heavy,Cody Jinks,country,"[Intro]
Loud thunder heavy rain
Thin line between joy and pain
It's a long strange trip it's all insane
You ain't never gonna be the same
Living life through the night
Thin line of a lightning strike
Sometimes the only light
When the moon is tucked away

[Verse 1]
Pistons pumping
Minds are racing
It's hard to sleep man
When I'm shaking
Bad news surrounds me
Its always found me
Creeping up when things are good
Yeah the dark days find a way

[Chorus]
Loud thunder heavy rain
Thin line between joy and pain
It's a long strange trip it's all insane
You ain't never gonna be the same
Living life through the night
Thin line of a lightning strike
Sometimes the only light
When the moon is tucked away

[Verse 2]
The camera captures
All the things that
Make us turn from
What we see
It's always moving
It don't stop rolling
I haven't slept in three damn days
Yeah, but who needs that anyway?

[Chorus]
Loud thunder heavy rain
Thin line between joy and pain
It's a long strange trip it's all insane
You ain't never gonna be the same
Living life through the night
Thin line of a lightning strike
Sometimes the only light
When the moon is tucked away

[Instrumental Break]

[Chorus]
Loud thunder heavy rain
Thin line between joy and pain
It's a long strange trip it's all insane
You ain't never gonna be the same
Living life through the night
Thin line of a lightning strike
Sometimes the only light
When the moon is tucked away

[Outro]
Loud thunder heavy rain
Loud thunder heavy rain
Thin line between joy and pain
A long strange trip it's all insane
You ain't never gonna be the same
Loud thunder heavy rain
Loud thunder heavy rain"
57,Before He Cheats,Carrie Underwood,country,"[Verse 1]
Right now, he's probably slow dancing
With a bleached-blond tramp
And she's probably getting frisky
Right now, he's probably buying her some fruity little drink
Cause she can't shoot whiskey
Right now, he's probably up behind her with a pool-stick
Showing her how to shoot a combo
And he don't know

[Hook]
That I dug my key into the side of his
Pretty little souped up four-wheel drive
Carved my name into his leather seats
I took a Louisville slugger to both headlights
Slashed a hole in all four tires
Maybe next time he'll think before he cheats

[Verse 2]
Right now, she's probably up singing some
White-trash version of Shania karaoke
Right now, she's probably saying ""I'm drunk""
And he's a thinking that he's gonna get lucky
Right now, he's probably dabbing on
Three dollars worth of that bathroom polo
Oh, and he don't know

[Hook]
That I dug my key into the side of his
Pretty little souped up four-wheel drive
Carved my name into his leather seats
I took a Louisville slugger to both headlights
Slashed a hole in all four tires
Maybe next time he'll think before he cheats

[Bridge]
I might've saved a little trouble for the next girl
Cause the next time that he cheats
Oh, you know it won't be on me
No, not on me

[Hook]
Cause I dug my key into the side of his
Pretty little souped up four-wheel drive
Carved my name into his leather seats
I took a Louisville slugger to both headlights
Slashed a hole in all four tires
Maybe next time he'll think before he cheats
Oh, maybe next time he'll think before he cheats

[Outro]
Oh, before he cheats"
58,Best Friend,Yelawolf,country,"[Verse 1: Yelawolf]
Ain't never been much of the church type
But I believe in the last days
I walk through Hell almost every night
But I believe it's a pathway
Say boy, what you doin' with your life
With those tattoos on your face?
Say boy, you know that you'll pay the price
Well, I guess I'll see when I head that way

[Hook: Yelawolf]
To the Father, Son and Holy Spirit
I hold You nearest
My best friend, best friend
Let the trumpets blow with Your appearance
I can almost hear it
My best friend, best friend
When you wish me hell upon my soul and spirit
Behold these lyrics
I got a best friend, best friend
Yeah, I got a best friend, best friend, yeah

[Verse 2: Yelawolf]
I don't know much about Holy Bibles
But I grew up in the Bible Belt
I put my love for a woman on idle
Because I got beat with my mama's belt
But I learned from my mistakes
Try hard to respect people for what they believin' in
But if you spit on my fuckin' grave
And wish me hell, then I wish you well
I'ma send you straight up to my best friend

[Hook: Yelawolf]
To the Father, Son and Holy Spirit
I hold You nearest
My best friend, best friend
Let the trumpets blow with Your appearance
I can almost hear it
My best friend, best friend
When you wish me hell upon my soul and spirit
Behold these lyrics
I got a best friend, best friend
Yeah, I got a best friend, best friend, yeah

[Verse 3: Eminem and (Yelawolf)]
God, please would you arm me with the armor
To calm me when there's drama like Gandhi?
Could have gone the other way many times
Could have turned Dalai with the llama, but I squashed my
Beefs, and things seem to be looking decent
Recently, but don't jinx it
It's like Clint Eastwood looking for peace though
Maybe not finna enter
The priesthood, but at least should make an attempt to
Show some remorse and to be some sort of a repenter
For the people I've been a menace to
Not a preacher but a shit starter and finisher
Enter the mind of a thick skin, but a short temper
This patience of mine is thinner
Than twine is when I get attacked
So I might say something back that might offend you
So if you don't like when I rap or
What I have to say on the mic, then you
Might wanna act just like quarterbacks
And take a fuckin' hike when I snap ‘cause I'm a sinner
And I (I got a best friend, best friend)
Plus balls and intestines
And they never been yes men
They gon' tell me when I'm fuckin' up
The minute I'm ever givin' it less than
I'm about to vomit and I can feel it comin'
‘Cause failure's somethin' I can barely stomach
And I only listen to my gut
So unless you're my fuckin' belly button, don't tell me nothin'
You ain't my (best friend, best friend)
Who you think I'm talkin' 'bout?
Lifts me up when I'm down and out
Still look to him without a doubt
Still got a (best friend, best friend)
Shout it out like there's never been a louder mouth
Should have never been allowed a mouth
Now that I got a higher power
Now when I blackout, power outage {Oww!}
They powerless, but they crowd around
They tend to flock like shepherds
The black sheep, but I be the worst thing
That these motherfuckers ever heard when I'm counted out
You'll be D-O-A, they'll announce
But pronounce you dead when they sound it out
So prepare for a rival, your arch enemy surrounds you now
He's all around you {Blaow!}
Not even the doctors at the hospital
Are gonna shiggy-shock you back to life
It's im-piggy-possible to revive you
That's word to the Diggy Doc
Stiggy-stoppin' is not an option, somethin' I'm not gonna do
I'm the Iggy Pop of hip-hop when I walk in the booth
Dawg, I'm the truth, like Biggie rockin' with 2Pac in a suit
Talkin' to Proof droppin' a deuce
Fill up a syllable clip like a refillable script, cock it and shoot
And who you think's my Glock that I use?
That I pull from to get my strength up against these haters
And he'll be waitin' at the gate when you get sprayed up
Sendin' you hoes straight up to deal with my (best friend)

[Hook: Yelawolf]
To the Father, Son and Holy Spirit
I hold You nearest
My best friend, best friend
Let the trumpets blow with Your appearance
I can almost hear it
My best friend, best friend
When you wish me hell upon my soul and spirit
Behold these lyrics
I got a best friend, best friend
Yeah, I got a best friend, best friend, yeah"
59,Hey,Pixies,country,"[Verse 1]
Hey
Been trying to meet you
Hey
Must be a devil between us
Or whores in my head
Whores at the door
Whore in my bed
But hey
Where
Have you
Been?
If you go, I will surely die

[Chorus]
We're chained
We're chained
We're chained
We're chained
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained

[Verse 2]
""Uh!""
Said the man to the lady
""Uh!""
Said the lady to the man she adored
And the whores like a choir
Go ""Uh!"" all night
And Mary, ain't you tired of this?
""Uh!""
Is
The
Sound
That the mother makes when the baby breaks

[Chorus]
We're chained
We're chained
We're chained
We're chained
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained (chained)
We're chained"
60,Whitehouse Road,Tyler Childers,country,"Early in the morning when the sun does rise
Layin' in the bed with bloodshot eyes
Late in the evenin' when the sun sinks low
Well that's about time my rooster crows
I got women up and down this creek
And they keep me going and my engine clean
Run me ragged but I don't fret
Cause there ain't been one slow me down none yet

Get me drinking' that moonshine
Get me higher than the grocery bill
Take my troubles to the highwall
Throw'em in the river and get your fill
We been sniffing that cocaine
Ain't nothin' better when the wind cuts cold
Lord it's a mighty hard livin'
But a damn good feelin' to run these roads

I got people try to tell me, Red
Keep this livin' and you'll wind up dead
Cast your troubles on the Lord of Lord's
Or wind up laying on a coolin' board
But I got buddies up White House Road
And they keep me strutting when my feet hang low
Rotgut whiskey gonna ease my pain
'N all this runnin's gonna keep me sane

Get me drinking' that moonshine
Get me higher than the grocery bill
Take my troubles to the highwall
Throw'em in the river and get your fill
We been sniffing that cocaine
Ain't nothin' better when the wind cuts cold
Lord it's a mighty hard livin'
But a damn good feelin' to run these roads
It's a damn good feelin' to run these roads

When they lay me in the cold hard clay
Won't ya sing them hymns while the banjo plays
You can tell them ladies that they ought not frown
Cause there ain't been nothing ever held me down
Lawmen, women or a shallow grave
Same ol' blues just a different day

Get me drinking' that moonshine
Get me higher than the grocery bill
Take my troubles to the highwall
Throw'em in the river and get your fill
We been sniffing that cocaine
Ain't nothin' better when the wind cuts cold
Lord it's a mighty hard livin'
But a damn good feelin' to run these roads
It's a damn good feelin' to run these roads
It's a damn good feelin' to run these roads"
61,All I Have To Do Is Dream,The Everly Brothers,country,"Dream, dream, dream, dream
Dream, dream, dream, dream
When I want you in my arms
When I want you and all your charms
Whenever I want you, all I have to do is
Dream, dream, dream, dream

When I feel blue in the night
And I need you to hold me tight
Whenever I want you, all I have to do is
Dream

I can make you mine, taste your lips of wine
Anytime night or day
Only trouble is, gee whiz
I’m dreamin’ my life away

I need you so that I could die
I love you so and that is why
Whenever I want you, all I have to do is
Dream, dream, dream, dream
Dream

I can make you mine, taste your lips of wine
Anytime night or day
Only trouble is, gee whiz
I’m dreamin’ my life away

I need you so that I could die
I love you so and that is why
Whenever I want you, all I have to do is
Dream, dream, dream, dream
Dream, dream, dream, dream"
